TSA_NUMERO,LAM_STATION_ID,TSA_NIMI,NIMI_FI,NIMI_SE,NIMI_EN,TIE,TIEOSA,ETAISYYS,TSA_PAIKKA_Y,TSA_PAIKKA_X,TSA_KORKEUS,MAAKUNNAN_NIMI,LEVEYS_ASTE,LEVEYS_MINUUTTI,LEVEYS_SEKUNTI,PITUUS_ASTE,PITUUS_MINUUTTI,PITUUS_SEKUNTI
23127,127,L_kt45_Rusutjärvi,"Tie 45 Tuusula, Rusutjärvi","Väg 45 Tusby, Rusutjärvi","Road 45 Tuusula, Rusutjärvi",45,6,3360,6704100,3389273,0,Uusimaa,60,25,"57,4",24,59,"9,8"
23125,125,L_kt50_Bemböle,Tie 50 Bemböle,Väg 50 Bemböle,Road 50 Bemböle,50,2,2400,6679211,3367498,0,Uusimaa,60,12,"10,3",24,36,"26,6"
23140,140,L_kt50_Järvenperä,Tie 50 Järvenperä,Väg 50 Träskända,Road 50 Järvenperä,50,3,3703,6683085,3372560,0,Uusimaa,60,14,"21,2",24,41,"46,1"
23183,183,L_kt50_Järvenperä2,Tie 50 Järvenperä 2,Väg 50 Träskända 2,Road 50 Järvenperä 2,50,4,0,6684494,3373600,0,Uusimaa,60,15,"7,8",24,42,"50,5"
23168,168,L_kt50_Askisto,Tie 50 Askisto,Väg 50 Askis,Road 50 Askisto,50,4,4322,6686715,3377149,0,Uusimaa,60,16,"23,5",24,46,"36,2"
23159,159,L_kt50_Petikko,Tie 50 Petikko,Väg 50 Petikko,Road 50 Petikko,50,5,650,6687119,3379255,0,Uusimaa,60,16,"38,8",24,48,"52,2"
23128,128,L_kt50_Voutila,Tie 50 Voutila,Väg 50 Brutuby,Road 50 Voutila,50,6,1351,6689209,3383022,0,Uusimaa,60,17,"50,2",24,52,"52,7"
23169,169,L_kt50_Pakkala,Tie 50 Pakkala,Väg 50 Backas,Road 50 Pakkala,50,6,4908,6688926,3386417,0,Uusimaa,60,17,"44,6",24,56,"34,2"
23150,150,L_kt50_Vantaanportti,Tie 50 Vantaanportti,Väg 50 Vandaporten,Road 50 Vantaanportti,50,6,6748,6688288,3388031,0,Uusimaa,60,17,"25,6",24,58,"20,5"
23160,160,L_kt50_Heidehof,Tie 50 Heidehof,Väg 50 Heidehof,Road 50 Heidehof,50,7,3800,6687062,3392086,0,Uusimaa,60,16,50,25,2,"46,6"
23182,182,L_kt50_Hakunila,Tie 50 Hakunila,Väg 50 Håkansböle,Road 50 Hakunila,50,8,660,6685966,3394901,0,Uusimaa,60,16,"17,2",25,5,"51,7"
23101,101,L_kt51_Hanasaari,Tie 51 Hanasaari,Väg 51 Hanaholmen,Road 51 Hanasaari,51,2,1614,6674574,3380678,0,Uusimaa,60,9,"55,2",24,50,"51,3"
23102,102,L_kt51_Soukka,Tie 51 Soukka,Väg 51 Sökö,Road 51 Soukka,51,6,3600,6674226,3369282,0,Uusimaa,60,9,"31,4",24,38,"33,8"
23143,143,L_kt51_Sundsberg,Tie 51 Sundsberg,Väg 51 Sundsberg,Road 51 Sundsberg,51,7,3950,6672502,3364305,0,Uusimaa,60,8,"29,9",24,33,"15,6"
23156,156,L_kt51_Jorvas,Tie 51 Jorvas,Väg 51 Jorvas,Road 51 Jorvas,51,8,2700,6670759,3361014,0,Uusimaa,60,7,"29,7",24,29,"46,8"
23134,134,L_kt51_Inkoo,Tie 51 Inkoo,Väg 51 Ingå,Road 51 Inkoo,51,13,2030,6664600,3337323,0,Uusimaa,60,3,"39,5",24,4,"32,2"
23115,115,L_kt55_Saksala,Tie 55 Saksala,Väg 55 Saxby,Road 55 Saksala,55,1,4229,6701431,3422814,0,Uusimaa,60,24,"59,3",25,35,"45,4"
23197,197,L_st100_Kivihaan_tunneli,"Tie 100, Hakamäen tunneli","Väg 100, Hakamäen tunneli","Rod 100, Hakamäen tunneli",100,1,770,6679259,3384190,0,Uusimaa,60,12,"30,2",24,54,"29,3"
23118,118,L_st101_Keilaniemi,Tie 101 Keilaniemi,Väg 101 Kägeludden,Road 101 Keilaniemi,101,1,278,6675453,3379501,0,Uusimaa,60,10,"22,4",24,49,"33,2"
23116,116,L_st101_Leppävaara,Tie 101 Leppävaara,Väg 101 Alberga,Road 101 Leppävaara,101,3,490,6679967,3379063,0,Uusimaa,60,12,"47,7",24,48,"55,1"
23126,126,L_st101_Konala,Tie 101 Konala,Väg 101 Kånala,Road 101 Konala,101,4,2045,6681634,3380696,0,Uusimaa,60,13,"43,2",24,50,"37,5"
23145,145,L_st101_Kannelmäki,Tie 101 Kannelmäki,Väg 101 Gamlas,Road 101 Kannelmäki,101,5,1000,6682200,3382573,0,Uusimaa,60,14,"3,5",24,52,"38,2"
